No,Name,Code,REM,Last Done,LACP,CHG,%CHG,Vol ('00),BUY Vol ('00),BUY,SELL,SELL Vol ('00),HIGH,LOW,stock_id
529,WMG,6378,,0.11,0.105,+0.005,+4.76,1510,1736,0.105,0.11,2517,0.11,0.105,6378
530,ARANK [S],7214,,0.565,0.575,-0.010,-1.74,1470,2000,0.56,0.565,210,0.58,0.565,7214
531,AWC-WA [S],7579WA,,0.17,0.165,+0.005,+3.03,1451,69,0.17,0.175,1800,0.17,0.17,7579WA
532,VITROX [S],0097,s,18.42,18.3,+0.120,+0.66,1451,61,18.42,18.52,10,18.7,18.32,0097
533,CHGP-WA [S],7187WA,,0.715,0.725,-0.010,-1.38,1441,500,0.705,0.73,400,0.735,0.715,7187WA
534,LUSTER-WB,5068WB,,0.06,0.065,-0.005,-7.69,1402,1898,0.06,0.07,900,0.07,0.06,5068WB
535,ATTA [S],7099,,0.405,0.435,-0.030,-6.90,1371,1,0.405,0.42,100,0.415,0.395,7099
536,SOLID [S],5242,,0.21,0.21,-,-,1371,11104,0.205,0.21,2178,0.21,0.205,5242
537,PESONA [S],8311,,0.24,0.235,+0.005,+2.13,1370,1682,0.23,0.24,592,0.24,0.23,8311
538,LIIHEN [S],7089,s,2.84,2.87,-0.030,-1.05,1368,209,2.84,2.85,338,2.86,2.83,7089
539,AZRB [S],7078,,0.225,0.23,-0.005,-2.17,1366,139,0.225,0.23,401,0.23,0.225,7078
540,SCIENTX [S],4731,s,4.86,4.89,-0.030,-0.61,1357,10,4.85,4.86,98,4.89,4.82,4731
541,MBL-WA [S],5152WA,,0.075,0.08,-0.005,-6.25,1349,753,0.075,0.085,200,0.08,0.075,5152WA
542,KSL [S],5038,s,0.675,0.675,-,-,1330,100,0.67,0.675,5,0.68,0.67,5038
543,HUMEIND,5000,s,1.05,1.1,-0.050,-4.55,1322,45,1.05,1.08,18,1.09,1.03,5000
544,CHINWEL [S],5007,,1.46,1.49,-0.030,-2.01,1316,84,1.46,1.49,184,1.49,1.45,5007
