No,Name,Code,REM,Last Done,LACP,CHG,%CHG,Vol ('00),BUY Vol ('00),BUY,SELL,SELL Vol ('00),HIGH,LOW,stock_id
785,EKSONS,9016,,0.63,0.645,-0.015,-2.33,131,49,0.63,0.65,20,0.645,0.63,9016
786,SEEHUP [S],7053,,1.18,1.18,-,-,131,320,1.18,1.24,31,1.18,1.18,7053
787,CYL [S],7157,,0.47,0.475,-0.005,-1.05,125,200,0.465,0.475,100,0.47,0.46,7157
788,SJC [S],9431,,2.62,2.63,-0.010,-0.38,125,20,2.56,2.62,17,2.65,2.6,9431
789,PLS-WA [S],9695WA,,0.315,0.305,+0.010,+3.28,122,289,0.3,0.315,97,0.315,0.3,9695WA
790,FACBIND,2984,,1.22,1.23,-0.010,-0.81,120,140,1.22,1.26,10,1.23,1.22,2984
791,LBS-PA [S],5789PA,,0.93,0.9,+0.030,+3.33,120,150,0.865,0.93,50,0.93,0.865,5789PA
792,TOYOVEN [S],7173,,1.41,1.4,+0.010,+0.71,118,45,1.4,1.42,35,1.41,1.4,7173
793,TCHONG [S],4405,s,1.12,1.11,+0.010,+0.90,117,63,1.12,1.14,90,1.13,1.12,4405
794,SEACERA [S],7073,,0.2,0.195,+0.005,+2.56,114,3,0.195,0.2,1450,0.2,0.195,7073
795,LSTEEL [S],9881,,0.61,0.6,+0.010,+1.67,111,200,0.6,0.635,251,0.61,0.61,9881
796,POLY [S],8117,,0.7,0.66,+0.040,+6.06,110,15,0.68,0.7,2,0.7,0.68,8117
797,RHONEMA,5278,,0.705,0.725,-0.020,-2.76,110,110,0.705,0.72,20,0.715,0.705,5278
798,BESHOM,7668,s,1.82,1.8,+0.020,+1.11,107,70,1.78,1.82,14,1.85,1.78,7668
799,MGB [S],7595,,0.725,0.715,+0.010,+1.40,107,10,0.72,0.725,30,0.735,0.715,7595
800,DYNACIA-PA,5178PA,,0.06,0.06,-,-,100,2000,0.055,0.06,1000,0.06,0.06,5178PA
801,KAMDAR [S],8672,,0.2,0.2,-,-,100,200,0.195,0.205,20,0.2,0.2,8672
802,RHONEMA-WA,5278WA,,0.215,0.215,-,-,100,2100,0.2,0.215,139,0.215,0.215,5278WA
803,ZECON [S],7028,,0.39,0.38,+0.010,+2.63,100,1000,0.38,0.390,277,0.39,0.38,7028
804,GCB-WB [S],5102WB,,1.13,1.14,-0.010,-0.88,99,28,1.13,1.170,110,1.14,1.13,5102WB
805,CHUAN [S],7016,,0.48,0.53,-0.050,-9.43,97,713,0.48,0.520,80,0.48,0.48,7016
806,PLS [S],9695,,0.935,0.935,-,-,93,492,0.93,0.935,28,0.98,0.92,9695
807,EMETALL [S],7217,,0.505,0.5,+0.005,+1.00,91,169,0.49,0.505,499,0.505,0.49,7217
808,IBRACO [S],5084,,0.585,0.585,-,-,84,5,0.535,0.580,315,0.585,0.53,5084
809,ANALABS,7083,,1.24,1.26,-0.020,-1.59,81,79,1.24,1.260,82,1.25,1.24,7083
810,E&O [S],3417,s,0.605,0.6,+0.005,+0.83,77,240,0.595,0.605,428,0.605,0.6,3417
811,UMW [S],4588,s,3.04,3.04,-,-,76,1,3.02,3.040,182,3.04,3.03,4588
812,SEM,5250,s,1.5,1.5,-,-,71,50,1.49,1.510,136,1.5,1.49,5250
813,ATLAN,7048,,2.8,2.8,-,-,70,20,2.78,2.800,150,2.82,2.75,7048
814,FAREAST [S],5029,,2.9,2.98,-0.080,-2.68,66,12,2.9,3.080,1,2.91,2.9,5029
815,RVIEW [S],2542,,3.2,3.2,-,-,63,10,3.22,3.460,10,3.3,3.15,2542
816,HONGSENG-PA,0041PA,,2.61,2.61,-,-,60,20,2.51,-,-,2.61,2.61,0041PA
817,SAPIND [S],7811,,0.75,0.74,+0.010,+1.35,60,220,0.73,0.760,10,0.75,0.74,7811
818,TGL [S],9369,,1.01,1.01,-,-,60,446,1.01,1.080,30,1.01,1.01,9369
819,ORNA [S],5065,,1.29,1.28,+0.010,+0.78,58,100,1.28,1.300,200,1.29,1.27,5065
820,PMBTECH-WA [S],7172WA,,9.08,9.4,-0.320,-3.40,58,10,9.1,9.400,40,9.4,9.01,7172WA
821,SUNWAY-PA [S],5211PA,,1.49,1.47,+0.020,+1.36,56,14,1.48,1.49,110,1.49,1.47,5211PA
822,DANCO-WA [S],5276WA,,0.235,0.235,-,-,55,160,0.235,0.24,260,0.235,0.235,5276WA
823,WEGMANS-WB [S],0197WB,,0.07,0.07,-,-,54,1146,0.07,0.075,3200,0.07,0.07,0197WB
824,GOPENG [S],2135,,0.43,0.425,+0.005,+1.18,51,49,0.43,0.45,100,0.43,0.43,2135
825,AJI [S],2658,,15.2,15.3,-0.100,-0.65,50,5,15.2,15.4,2,15.3,15.2,2658
826,PCCS-WA [S],6068WA,,0.1,0.095,+0.005,+5.26,50,1250,0.095,0.1,50,0.1,0.1,6068WA
827,SUNSURIA [S],3743,,0.43,0.44,-0.010,-2.27,50,450,0.43,0.45,80,0.43,0.43,3743
828,DLADY [S],3026,s,33.2,33.22,-0.020,-0.06,47,20,33.0,33.2,5,33.22,33.2,3026
829,LOTUS-WB [S],8303WB,,0.13,0.13,-,-,47,3,0.13,0.135,50,0.13,0.13,8303WB
830,AMWAY [S],6351,,5.4,5.4,-,-,46,8,5.34,5.4,24,5.4,5.32,6351
831,PENERGY [S],5133,,0.825,0.83,-0.005,-0.60,44,110,0.79,0.825,133,0.825,0.825,5133
832,ADVPKG [S],9148,,2.52,2.51,+0.010,+0.40,40,36,2.53,2.69,50,2.53,2.52,9148
833,HIL [S],8443,,0.94,0.935,+0.005,+0.53,40,30,0.925,0.94,108,0.94,0.92,8443
834,SCIPACK [S],8125,s,2.4,2.4,-,-,38,12,2.39,2.47,30,2.4,2.4,8125
835,NHFATT [S],7060,,2.15,2.2,-0.050,-2.27,36,14,2.15,2.25,20,2.15,2.15,7060
836,ECM,2143,,0.17,0.175,-0.005,-2.86,35,1229,0.17,0.18,841,0.175,0.17,2143
837,TOCEAN [S],7218,,2.96,3.08,-0.120,-3.90,35,50,2.95,3.07,5,2.96,2.91,7218
838,CSCENIC-WA [S],7202WA,,0.23,0.25,-0.020,-8.00,32,1000,0.235,0.25,1086,0.26,0.23,7202WA
839,ARK [S],7007,,0.325,0.325,-,-,31,19,0.325,0.38,100,0.325,0.325,7007
840,ORIENT,4006,s,5.31,5.31,-,-,31,1,5.31,5.32,12,5.32,5.31,4006
841,AHEALTH [S],7090,s,2.59,2.59,-,-,30,5,2.58,2.6,300,2.59,2.59,7090
842,LBICAP-WB,8494WB,,0.18,0.185,-0.005,-2.70,30,200,0.185,0.195,310,0.18,0.18,8494WB
843,STELLA [S],5006,,0.95,0.95,-,-,30,80,0.95,1.03,30,0.95,0.935,5006
844,ENRA-WA [S],8613WA,,0.32,0.32,-,-,27,473,0.32,0.335,81,0.32,0.32,8613WA
845,SENDAI-WA [S],5205WA,,0.05,0.055,-0.005,-9.09,25,715,0.05,0.055,2291,0.05,0.05,5205WA
846,HARISON,5008,,4.9,4.88,+0.020,+0.41,21,40,4.81,4.92,50,4.9,4.88,5008
847,BJFOOD [S],5196,s,2.15,2.15,-,-,20,10,2.14,2.15,26,2.15,2.15,5196
848,GCE,5592,,0.33,0.33,-,-,20,80,0.33,0.36,183,0.33,0.33,5592
849,KFIMA [S],6491,s,2.1,2.1,-,-,20,24,2.08,2.09,150,2.1,2.1,6491
850,KIMHIN [S],5371,,0.85,0.87,-0.020,-2.30,20,30,0.775,0.85,36,0.85,0.85,5371
851,MAA,1198,,0.605,0.62,-0.015,-2.42,20,10,0.605,0.63,100,0.605,0.605,1198
852,APM [S],5015,,2.0,2.01,-0.010,-0.50,18,12,2.0,2.01,20,2.0,2.0,5015
853,PANAMY,3719,s,29.04,29.0,+0.040,+0.14,18,21,29.04,29.1,5,29.04,29.0,3719
854,MENANG [S],1694,,0.515,0.515,-,-,16,2000,0.515,0.52,8,0.515,0.51,1694
